Food_items,calories,total_fat,sodium,vitamin_d,calcium,iron,potassium,protein,carbohydrate,fiber,water,sugars,VegNovVeg,Breakfast,Lunch,Dinner,Vegan
"Ostrich, raw, top loin",119,3,81,0,6,3.13,312,21.67,0,0,75.35,0,0,1,1,0,1
"Chewing gum, sugarless",268,0.4,7,0,20,0,0,0,94.8,2.4,3.5,0,0,0,0,1,1
"Nuts, dried, pine nuts",673,68,2,0,16,5.53,597,13.69,13.08,3.7,2.28,3.59,0,1,0,1,1
"Pasta, unenriched, dry",371,1.5,6,0,21,1.3,223,13.04,74.67,3.2,9.9,2.67,0,0,1,1,1
"Cookies, Marie biscuit",406,11,370,0,0,0,307,7.05,70.54,3.5,9.79,21.16,0,0,0,1,1
"Broccoli, raw, chinese",30,0.8,7,0,105,0.59,274,1.2,4.67,2.6,92.55,0.88,0,1,0,0,1
"McDONALD'S, Hash Brown",271,16,580,0,19,0.56,341,2.48,28.56,2.8,50.42,0.54,0,0,0,1,1
"Emu, raw, outside drum",103,0.5,100,0,3,4.5,320,23.08,0,0,74.87,0,0,1,1,0,1
"Nuts, dried, beechnuts",576,50,38,0,1,2.46,1017,6.2,33.5,0,6.6,0,0,1,0,1,1
"Lentils, raw, sprouted",106,0.6,11,0,25,3.21,322,8.96,22.14,0,67.34,0,0,1,1,0,1
"Gravy, mix, dry, onion",322,3,4186,0,280,1,262,9,67.64,6,4.36,0,0,0,0,1,1
"Pie, fruit, fried pies",316,16,333,0,22,1.22,65,3,42.6,2.6,37.6,21.4,0,1,0,1,1
"Snacks, cakes, popcorn",384,3.1,288,0,9,1.87,327,9.7,80.1,2.9,5,0.72,0,0,0,1,1
"Snack, Mixed Berry Bar",383,11,447,2,105,1.89,446,13.16,58.84,7.9,15.52,26.32,0,0,0,1,1
"Fish, raw, sheepshead",108,2.4,71,0,21,0.46,404,20.21,0,0,77.97,0,1,1,1,0,0
"Brussels sprouts, raw",43,0.3,25,0,42,1.4,389,3.38,8.95,3.8,86,2.2,0,1,0,0,1
"Broccoli raab, cooked",33,0.5,56,0,118,1.27,343,3.83,3.12,2.8,91.41,0.62,0,1,0,0,1
"Butter oil, anhydrous",876,99,2,0,4,0,5,0.28,0,0,0.24,0,0,0,0,1,1
"KEEBLER, Waffle Cones",424,5.3,149,0,0,3,100,6.5,87.7,1.8,2,31.6,0,0,0,1,1
"KEEBLER, Waffle Bowls",424,5.3,149,0,0,3,100,6.5,87.7,1.8,2,31.6,0,0,0,1,1
"Broccoli, raw, leaves",28,0.4,27,0,48,0.88,325,2.98,5.06,2.3,90.69,1.48,0,1,0,0,1
"Egg custards, dry mix",410,6.4,281,0,228,1.93,540,6.9,82.8,0,1.7,0,1,0,0,1,0
"Peanut flour, low fat",428,22,1,0,130,4.74,1358,33.8,31.27,15.8,7.8,0,0,1,0,1,1
"Fish, smoked, haddock",116,1,763,34,49,1.4,415,25.23,0,0,71.48,0,1,1,1,0,0
"DENNY'S, french fries",282,14,44,0,14,0.72,492,3.41,35.2,3.5,46.05,0.85,0,0,0,1,1
"Ground turkey, cooked",203,10,78,8,28,1.52,294,27.37,0,0,62.07,0,1,0,1,1,0
"MURRAY, Vanilla Wafer",461,17,401,0,0,0,84,4,72.9,1.4,4.1,31.5,0,0,0,1,1
"WENDY'S, french fries",301,14,219,0,16,0.93,625,3.73,39.73,4,40.62,0.4,0,0,0,1,1
"Bread, toasted, wheat",313,4.3,601,0,165,4.09,223,12.96,55.77,4.7,24.23,6.42,0,1,0,1,1
"Danish pastry, cheese",374,22,417,2,35,1.8,98,8,37.2,1,31.4,6.95,0,0,0,1,1
"Nuts, glazed, walnuts",500,36,446,0,71,1.29,232,8.28,47.59,3.6,6.28,32.14,0,1,0,1,1
"Spices, garlic powder",331,0.7,60,0,79,5.65,1193,16.55,72.73,9,6.45,2.43,0,0,0,1,1
"Oil, soybean lecithin",763,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Egg, fresh, raw, yolk",322,27,48,218,129,2.73,109,15.86,3.59,0,52.31,0.56,1,0,0,1,0
"Beef, pastrami, cured",147,5.8,1078,4,10,2.22,210,21.8,0.36,0,69.53,0.1,1,1,1,0,0
"Frankfurter, meatless",233,14,471,0,33,1.41,98,19.61,7.7,3.9,58,0,1,0,1,1,0
"Emu, raw, flat fillet",102,0.7,150,0,3,5,240,22.25,0,0,75.4,0,0,1,1,0,1
"Emu, raw, inside drum",108,1.5,102,0,4,5.23,318,22.22,0,0,74.73,0,0,1,1,0,1
"Ice creams, chocolate",216,11,76,8,109,0.93,249,3.8,28.2,1.2,55.7,25.36,0,0,1,1,1
"Snacks, potato sticks",522,34,633,0,18,2.27,1237,6.7,53.3,3.4,2.2,0.22,0,0,0,1,1
"Figs, uncooked, dried",249,0.9,10,0,162,2.03,680,3.3,63.87,9.8,30.05,47.92,0,0,1,1,1
"Game meat, raw, horse",133,4.6,53,0,6,3.82,360,21.39,0,0,72.63,0,1,1,1,0,0
"Broccoli, raw, stalks",28,0.4,27,0,48,0.88,325,2.98,5.24,0,90.69,0,0,1,0,0,1
"Cream, cultured, sour",198,19,31,0,101,0.07,125,2.44,4.63,0,73.07,3.41,0,0,1,1,1
"Gravy, canned, au jus",16,0.2,478,0,4,0.6,81,1.2,2.5,0,94.5,0,0,1,0,0,1
"McDONALD'S, Hamburger",264,10,494,0,127,2.87,192,12.92,30.28,1.3,44.53,6.03,1,0,1,1,0
"Cheese, port de salut",352,28,534,21,650,0.43,136,23.78,0.57,0,45.45,0.57,0,0,0,1,1
"Soup, mix, dry, onion",293,0.3,8031,0,143,1.25,721,7.48,65.07,6.6,3.79,4.65,0,0,1,1,1
Bacon and beef sticks,517,44,1420,0,14,1.86,385,29.1,0.8,0,21.6,0.8,1,1,0,1,0
"Salami, pork, Italian",425,37,1890,0,10,1.52,340,21.7,1.2,0,34.6,1.2,1,0,0,1,0
"Crackers, whole-wheat",427,14,704,0,36,3.34,345,10.58,69.55,10.3,2.94,1.19,0,0,0,1,1
"Peanuts, raw, spanish",570,50,22,0,106,3.91,744,26.15,15.83,9.5,6.39,0,0,1,0,1,1
"Hominy, white, canned",72,0.9,345,0,10,0.62,9,1.48,14.26,2.5,82.53,1.82,0,1,0,0,1
"Game meat, raw, moose",102,0.7,65,0,5,3.21,317,22.24,0,0,75.55,0,1,1,1,0,0
"Horseradish, prepared",48,0.7,420,0,56,0.42,246,1.18,11.29,3.3,85.08,7.99,0,1,0,0,1
"Fish, raw, butterfish",146,8,89,0,22,0.5,375,17.28,0,0,74.13,0,1,1,1,0,0
"Lebanon bologna, beef",172,10,1374,10,20,2.15,330,19.03,0.44,0,65.77,0,1,0,1,1,0
Ham and cheese spread,245,19,1197,0,217,0.76,162,16.18,2.28,0,59.13,0,1,0,1,1,0
"TACO BELL, Taco Salad",170,9.2,363,0,95,1.77,229,6.69,15.1,3,67.32,0,0,0,1,1,1
"Candies, marshmallows",318,0.2,80,0,3,0.23,5,1.8,81.3,0.1,16.4,57.56,0,0,0,1,1
"Hummus, home prepared",177,8.6,242,0,49,1.56,173,4.86,20.12,4,64.87,0.27,0,0,1,1,1
Ice cream sundae cone,254,14,115,4,60,0.36,204,3,28.89,1,53.31,21.26,0,0,0,1,1
"Peppers, raw, serrano",32,0.4,10,0,11,0.86,305,1.74,6.7,3.7,90.25,3.83,0,1,0,0,1
"Peppers, dried, ancho",281,8.2,43,0,61,10.93,2411,11.86,51.42,21.6,22.63,0,0,0,0,1,1
"Spices, black, pepper",251,3.3,20,0,443,9.71,1329,10.39,63.95,25.3,12.46,0.64,0,0,0,1,1
"Spices, white, pepper",296,2.1,5,0,265,14.31,73,10.4,68.61,26.2,11.42,0,0,0,0,1,1
"Nuts, dried, pilinuts",719,80,3,0,145,3.53,507,10.8,3.98,0,2.77,0,0,1,0,1,1
"Yautia (tannier), raw",98,0.4,21,0,9,0.98,598,1.46,23.63,1.5,73.06,0,0,1,0,0,1
"Candies, butterscotch",391,3.3,391,0,4,0.01,3,0.03,90.4,0,5.25,80.46,0,0,0,1,1
"Dandelion greens, raw",45,0.7,76,0,187,3.1,397,2.7,9.2,3.5,85.6,0.71,0,1,0,0,1
Potato salad with egg,157,9.4,329,4,15,0.5,242,1.96,16.18,1.3,70.99,4.95,1,0,1,1,0
"Mushrooms, raw, white",22,0.3,5,7,3,0.5,318,3.09,3.26,1,92.45,1.98,0,1,0,0,1
"Mushrooms, raw, morel",31,0.6,21,206,43,12.18,411,3.12,5.1,2.8,89.61,0.6,0,1,0,0,1
"Cheese, Mexican blend",358,29,338,21,659,0.59,85,23.54,1.75,0,42.48,1.23,0,0,0,1,1
"SILK Vanilla, soymilk",41,1.4,39,49,123,0.44,123,2.47,4.12,0.4,91.32,2.88,0,1,0,0,1
SILK Plain soy yogurt,66,1.8,13,53,132,0,0,2.64,9.69,0.4,84.67,5.29,0,1,0,0,1
"Mollusks, raw, snail",90,1.4,70,0,10,3.5,382,16.1,2,0,79.2,0,0,1,0,0,1
"Emu, raw, fan fillet",103,0.8,120,0,3,4.5,300,22.5,0,0,74.62,0,0,1,1,0,1
"Pasta, enriched, dry",371,1.5,6,0,21,3.3,223,13.04,74.67,3.2,9.9,2.67,0,0,1,1,1
"Cookies, gingersnaps",416,9.8,501,0,77,6.4,346,5.6,76.9,2.2,5.3,19.92,0,0,0,1,1
"MURRAY, Honey Graham",445,13,477,0,379,3.8,76,5.9,75.7,2.7,3.5,22,1,0,0,1,0
"Frankfurter, chicken",223,16,1027,21,74,1.17,202,15.51,2.74,0,62.5,2.98,1,0,1,1,0
"Ham, canned, chopped",239,19,1280,24,7,0.95,284,16.06,0.26,0,60.77,0,1,0,1,1,0
"Spices, dried, thyme",276,7.4,55,0,1890,123.6,814,9.11,63.94,37,7.79,1.71,0,0,0,1,1
"Corn, dried (Navajo)",386,5.2,13,0,15,1.92,511,9.88,74.93,0,8.1,5.38,0,0,0,1,1
"Pate, truffle flavor",327,29,807,0,70,3.94,138,11.2,6.3,0,51.8,0,0,0,0,1,1
"Fruit butters, apple",173,0.3,15,0,14,0.31,91,0.39,42.47,1.5,56.45,35.3,0,1,1,1,1
"Fast foods, coleslaw",153,9.9,203,0,30,0.22,129,0.95,14.89,1.9,73.42,12.19,0,0,1,1,1
"Salami, beef, cooked",261,22,1140,48,6,2.2,188,12.6,1.9,0,60,1.5,1,0,0,1,0
"Spices, chili powder",282,14,2867,0,330,17.3,1950,13.46,49.7,34.8,10.75,7.19,0,0,0,1,1
"Spices, caraway seed",333,15,17,0,689,16.23,1351,19.77,49.9,38,9.87,0.64,0,0,0,1,1
"Spices, dried, basil",233,4.1,76,0,2240,89.8,2630,22.98,47.75,37.7,10.35,1.71,0,0,1,1,1
"Pickle relish, sweet",130,0.5,811,0,3,0.87,25,0.37,35.06,1.1,62.07,29.13,0,1,1,0,1
"Chives, freeze-dried",311,3.5,70,0,813,20,2960,21.2,64.29,26.2,2,0,0,0,0,1,1
"Fish, raw, sablefish",195,15,56,0,35,1.28,358,13.41,0,0,71.02,0,1,0,1,1,0
"Crackers, multigrain",482,20,883,0,14,2.59,171,7.1,67.6,3.5,2.5,12,0,0,0,1,1
"Spices, ground, mace",475,32,80,0,252,13.9,463,6.71,50.5,20.2,8.17,0,0,0,0,1,1
"Spices, onion powder",341,1,73,0,384,3.9,985,10.41,79.12,15.2,5.39,6.63,0,0,0,1,1
"Butter, without salt",717,81,11,0,24,0.02,24,0.85,0.06,0,17.94,0.06,0,0,0,1,1
Barley flour or meal,345,1.6,4,0,32,2.68,309,10.5,74.52,10.1,12.11,0.8,0,0,0,1,1
"Garlic bread, frozen",350,17,544,9,27,3.05,103,8.36,41.72,2.5,31.78,3.69,0,0,0,1,1
"KFC, Popcorn Chicken",351,22,1140,0,32,1.42,288,17.67,21.18,1,35.62,0,1,0,1,1,0
"APPLEBEE'S, coleslaw",120,7.1,178,0,36,0.26,156,0.79,13.17,2.8,78.15,9.33,0,1,1,0,1
"Rolls, sweet, dinner",321,7.4,253,0,62,2.74,149,10.04,53.58,3.1,27.83,15.38,0,0,0,1,1
"Ostrich, raw, ground",165,8.7,72,0,7,2.91,291,20.22,0,0,71.07,0,0,0,1,1,1
"SILK Coffee, soymilk",62,1.4,41,0,123,0,132,2.06,10.29,0,85.56,9.47,0,1,0,0,1
"Snacks, banana chips",519,34,6,0,18,1.25,536,2.3,58.4,7.7,4.3,35.34,0,0,0,1,1
"Rolls, wheat, dinner",273,6.3,524,0,176,3.55,115,8.6,46,3.8,37,1.63,0,0,0,1,1
"Candies, HEATH BITES",530,30,245,0,86,0.78,210,3.94,63.39,2,0.86,60.02,0,0,0,1,1
"Chicken, raw, ground",143,8.1,60,0,6,0.82,522,17.44,0.04,0,73.24,0,1,1,1,0,0
"KEEBLER, Sugar Cones",375,3.7,326,0,0,3.2,119,7.3,78,2.1,1,26.4,0,0,0,1,1
"Seaweed, raw, wakame",45,0.6,872,0,150,2.18,50,3.03,9.14,0.5,79.99,0.65,0,1,0,0,1
"Seaweed, dried, agar",306,0.3,102,0,625,21.4,1125,6.21,80.88,7.7,8.68,2.97,0,0,0,1,1
"Bread, cracked-wheat",260,3.9,538,0,43,2.81,177,8.7,49.5,5.5,35.8,0,0,0,0,1,1
"Amaranth leaves, raw",23,0.3,20,0,215,2.32,611,2.46,4.02,0,91.69,0,0,1,0,0,1
"Barley, raw, pearled",352,1.2,9,0,29,2.5,280,9.91,77.72,15.6,10.09,0.8,0,0,0,1,1
"Polish sausage, pork",326,29,876,0,12,1.44,237,14.1,1.63,0,53.15,0,1,1,0,1,0
"Spices, curry powder",325,14,52,0,525,19.1,1170,14.29,55.83,53.2,8.8,2.76,0,0,0,1,1
"Bacon bits, meatless",476,26,1770,0,101,0.72,145,32,28.6,10.2,8,0,1,1,0,1,0
"Semolina, unenriched",360,1.1,1,0,17,1.23,186,12.68,72.83,3.9,12.67,0,0,0,0,1,1
"Grape leaves, canned",69,2,2853,0,289,2.98,29,4.27,11.71,9.9,76.1,0,0,1,0,0,1
"Spices, ground, sage",315,13,11,0,1652,28.12,1070,10.63,60.73,40.3,7.96,1.71,0,0,0,1,1
"DENNY'S, hash browns",197,9,468,0,17,0.56,416,2.49,26.59,2.7,59.85,1.38,0,0,1,1,1
"DENNY'S, onion rings",385,22,780,0,22,0.74,150,5.29,41.05,2.4,28.92,4.76,0,0,0,1,1
"Ostrich, raw, oyster",125,3.7,83,0,6,3.86,297,21.55,0,0,75.62,0,0,1,1,0,1
"Oil, corn and canola",884,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Celery flakes, dried",319,2.1,1435,0,587,7.83,4388,11.3,63.7,27.8,9,35.9,0,0,0,1,1
"Crackers, egg, matzo",391,2.1,21,0,40,2.7,150,12.3,78.6,2.8,6.4,0,1,0,0,1,0
"Soybeans, raw, green",147,6.8,15,0,197,3.55,620,12.95,11.05,4.2,67.5,0,0,1,1,0,1
"Soybean, curd cheese",151,8.1,20,0,188,5.6,199,12.5,6.9,0,70.9,1.6,0,0,1,1,1
"Game meat, raw, deer",120,2.4,51,0,5,3.4,318,22.96,0,0,73.57,0,1,1,1,0,0
"Tostada shells, corn",474,23,657,0,76,1.53,237,6.15,64.43,5.8,3.32,0,0,0,0,1,1
"Fish, raw, swordfish",144,6.7,81,558,5,0.38,418,19.66,0,0,73.38,0,1,1,1,0,0
"Taro, raw, tahitian",44,1,50,0,129,1.3,606,2.79,6.91,0,87.96,0,0,1,0,0,1
"Chicory greens, raw",23,0.3,45,0,100,0.9,420,1.7,4.7,4,92,0.7,0,1,0,0,1
"Fish, smoked, cisco",177,12,481,530,26,0.49,293,16.36,0,0,69.8,0,1,0,1,1,0
"Frankfurter, turkey",223,17,911,23,148,1.47,392,12.23,3.81,0,62.99,1.21,1,0,1,1,0
"Oil, ucuhuba butter",884,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Soy protein isolate,335,3.4,1005,0,178,14.5,81,88.32,0,0,4.98,0,0,0,0,1,1
"Fish, raw, milkfish",148,6.7,72,0,51,0.32,292,20.53,0,0,70.85,0,1,1,1,0,0
"Fish, raw, monkfish",76,1.5,18,0,8,0.32,400,14.48,0,0,83.24,0,1,1,0,0,0
"Mother's loaf, pork",282,22,1127,40,43,1.32,225,12.07,7.53,0,54.9,0,1,0,0,1,0
"Guavas, raw, common",68,1,2,0,18,0.26,417,2.55,14.32,5.4,80.8,8.92,0,1,0,0,1
"Spices, celery seed",392,25,160,0,1767,44.9,1400,18.07,41.35,11.8,6.04,0.67,0,0,0,1,1
"Candies, peanut bar",522,34,156,0,78,0.97,407,15.5,47.4,4.1,1.6,42.22,0,1,0,1,1
"Bread, toasted, rye",284,3.6,664,0,80,3.1,183,9.4,53.1,6.4,31,4.23,0,1,0,1,1
"Oil, apricot kernel",884,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Candies, YORK BITES",394,7.3,46,0,10,0.94,108,1.78,81.64,2,9.09,75,0,0,0,1,1
"Meatballs, meatless",197,9,550,0,25,2.16,180,21,8,4.6,58,1.25,1,0,1,1,0
"Emu, raw, full rump",112,1.6,90,0,4,4.96,330,22.83,0,0,73.79,0,0,1,1,0,1
"Seaweed, raw, laver",35,0.3,48,0,70,1.8,356,5.81,5.11,0.3,85.03,0.49,0,1,0,0,1
"Sweet rolls, cheese",360,18,357,0,118,0.76,137,7.1,43.7,1.2,29.4,0,0,0,0,1,1
"Figs, stewed, dried",107,0.4,4,0,70,0.88,294,1.42,27.57,4.2,69.8,23.35,0,1,1,0,1
"Bread sticks, plain",412,9.5,713,0,22,4.28,124,12,68.4,3,6.1,1.26,0,0,0,1,1
"SILK Mocha, soymilk",58,1.4,41,0,123,0.44,123,2.06,9.05,0,86.8,7.41,0,1,0,0,1
Milk and cereal bar,413,11,319,68,410,5.99,254,6.47,72.05,0.4,8.69,45.97,0,1,0,1,1
"Bread, pumpernickel",250,3.1,596,0,68,2.87,208,8.7,47.5,6.5,37.9,0.53,0,0,1,1,1
"Game meat, raw, elk",111,1.5,58,0,4,2.76,312,22.95,0,0,74.38,0,1,1,1,0,0
"Ostrich, raw, round",116,2.4,72,0,5,3.54,315,21.99,0,0,75.68,0,0,1,1,0,1
"HORMEL, Cure 81 Ham",106,3.6,1038,0,4,0.8,319,18.43,0.21,0,74.25,0,1,1,1,0,0
"McDONALD'S, BIG MAC",257,15,460,0,116,2,181,11.82,20.08,1.6,51.3,3.97,0,0,0,1,1
"Soy flour, defatted",327,1.2,20,0,241,9.24,2384,51.46,33.92,17.5,7.25,16.42,0,0,0,1,1
"Bread, toasted, egg",315,6.6,417,21,102,3.34,126,10.5,52.6,2.5,28.3,1.94,1,1,0,1,0
"Fish, raw, mahimahi",85,0.7,88,0,15,1.13,416,18.5,0,0,77.55,0,1,1,0,0,0
"Fish, raw, bluefish",124,4.2,60,0,7,0.48,372,20.04,0,0,70.86,0,1,1,1,0,0
"Spices, fennel seed",345,15,88,0,1196,18.54,1694,15.8,52.29,39.8,8.81,0,0,0,0,1,1
Acorn stew (Apache),95,3.5,130,0,14,1,110,6.81,9.22,0.7,79.78,0.34,0,1,0,0,1
"Tomatoes, sun-dried",258,3,107,0,110,9.09,3427,14.11,55.76,12.3,14.56,37.59,0,0,0,1,1
"Pumpkin leaves, raw",19,0.4,11,0,39,2.22,436,3.15,2.33,0,92.88,0,0,1,0,0,1
"Melon balls, frozen",33,0.3,31,0,10,0.29,280,0.84,7.94,0.7,90.26,0,0,1,0,0,1
"Fish oil, cod liver",902,100,0,10000,0,0,0,0,0,0,0,0,1,0,0,1,0
"Nuts, dried, acorns",509,31,0,0,54,1.04,709,8.1,53.66,0,5.06,0,0,1,0,1,1
"Rolls, pumpernickel",276,2.8,492,0,67,2.78,208,10.8,51.87,5.4,32,0.4,0,0,0,1,1
"Gravy, dry, chicken",381,9.7,4152,0,146,1.33,404,11.27,62.09,0,3.85,0,1,0,1,1,0
"Fish, raw, tilefish",96,2.3,53,0,26,0.25,433,17.5,0,0,78.9,0,1,1,0,0,0
"Ice creams, vanilla",207,11,80,8,128,0.09,199,3.5,23.6,0.7,61,21.22,0,0,1,1,1
"SILK Plain, soymilk",41,1.7,49,49,123,0.44,123,2.88,3.29,0.4,91.53,2.47,0,1,0,0,1
"Fish, raw, tilapia",96,1.7,52,124,10,0.56,302,20.08,0,0,78.08,0,1,1,0,0,0
"Broccoli raab, raw",22,0.5,33,0,108,2.14,196,3.17,2.85,2.7,92.55,0.38,0,1,0,0,1
"Corn grain, yellow",365,4.7,35,0,7,2.71,287,9.42,74.26,7.3,10.37,0.64,0,0,0,1,1
"Turtle, raw, green",89,0.5,68,0,118,1.4,230,19.8,0,0,78.5,0,0,1,0,0,1
Ice cream sandwich,237,8.6,129,0,86,0.26,115,4.29,37.14,0,48.9,18.57,0,0,1,1,1
"Croutons, seasoned",465,18,1089,0,96,2.82,181,10.8,63.5,5,3.6,4.41,0,0,0,1,1
"Snacks, taro chips",498,25,342,0,60,1.2,755,2.3,68.1,7.2,2,3.82,0,0,0,1,1
"Prickly pears, raw",41,0.5,5,0,56,0.3,220,0.73,9.57,3.6,87.55,0,0,1,0,0,1
"Fish, raw, haddock",74,0.5,213,18,11,0.17,286,16.32,0,0,83.38,0,1,1,0,0,0
"Liver cheese, pork",304,26,1225,0,8,10.83,226,15.2,2.1,0,53.6,0,1,0,0,1,0
"Ground turkey, raw",148,7.7,58,14,19,1.09,237,19.66,0,0,72.36,0,1,1,1,0,0
"Oil, nutmeg butter",884,100,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"Semolina, enriched",360,1.1,1,0,17,4.36,186,12.68,72.83,3.9,12.67,0,0,0,0,1,1
"Spices, anise seed",337,16,16,0,646,36.96,1441,17.6,50.02,14.6,9.54,0,0,0,0,1,1
"Snacks, corn cakes",387,2.4,488,0,19,1.4,157,8.1,83.4,1.9,4.6,23.47,0,0,0,1,1
"Croissants, cheese",414,21,361,0,53,2.15,132,9.2,47,2.6,21,11.35,0,0,0,1,1
"Milk, fluid, sheep",108,7,44,0,193,0.1,137,5.98,5.36,0,80.7,0,0,1,1,0,1
"Acerola juice, raw",23,0.3,3,0,10,0.5,97,0.4,4.8,0.3,94.3,4.5,0,1,0,0,1
"Fast food, biscuit",370,19,979,0,70,2.76,131,7.08,42.82,2.5,27.88,3.88,0,0,0,1,1
"Beef, dried, cured",153,1.9,2790,1,8,2.42,235,31.1,2.76,0,53.8,2.7,1,0,1,1,0
"Nuts, almond paste",458,28,9,0,172,1.6,314,9,47.81,4.8,14.08,36.25,0,1,0,1,1
"Seaweed, raw, kelp",43,0.6,233,0,168,2.85,89,1.68,9.57,1.3,81.58,0.6,0,1,0,0,1
"Fish oil, menhaden",902,100,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Rolls, egg, dinner",307,6.4,566,0,59,3.52,104,9.5,52,3.7,30.4,4.3,1,0,0,1,0
"Bread, white wheat",238,2.2,478,0,684,4.89,127,10.66,43.91,9.2,39.6,5,0,0,1,1,1
"Onions, raw, welsh",34,0.4,17,0,18,1.22,212,1.9,6.5,2.4,90.5,2.18,0,1,0,0,1
"SILK Chai, soymilk",53,1.4,41,33,123,0.44,123,2.47,7.82,0,87.62,5.76,0,1,0,0,1
"Rolls, rye, dinner",286,3.4,650,0,30,2.7,180,10.3,53.1,4.9,30.1,1.17,0,0,0,1,1
"Gravy, dry, au jus",313,9.6,11588,0,140,9.3,279,9.2,47.49,0,2.74,0,0,0,0,1,1
"Cheese, neufchatel",253,23,334,0,117,0.13,152,9.15,3.59,0,63.11,3.19,0,0,0,1,1
"Hummus, commercial",166,9.6,379,0,38,2.44,228,7.9,14.29,6,66.59,0,0,0,1,1,1
"Croissants, butter",406,21,467,0,37,2.03,118,8.2,45.8,2.6,23.2,11.26,0,0,0,1,1
"Carrot, dehydrated",341,1.5,275,0,212,3.93,2540,8.1,79.57,23.6,4,38.82,0,0,0,1,1
"Sapote, raw, mamey",124,0.5,7,0,18,0.78,454,1.45,32.1,5.4,64.87,20.14,0,1,1,0,1
"Soy flour, low-fat",372,8.9,9,0,285,8.2,2090,49.81,30.63,16,4.61,9.33,0,0,0,1,1
"Taco shells, baked",476,22,324,0,100,1.64,231,6.41,63.49,6.7,6.4,1.5,0,0,0,1,1
"Spices, cumin seed",375,22,168,0,931,66.36,1788,17.81,44.24,10.5,8.06,2.25,0,0,0,1,1
"Bamboo shoots, raw",27,0.3,4,0,13,0.5,533,2.6,5.2,2.2,91,3,0,1,0,0,1
"Fish, raw, lingcod",85,1.1,59,0,14,0.32,437,17.66,0,0,81.03,0,1,1,0,0,0
"Whey, dried, sweet",353,1.1,1079,0,796,0.88,2080,12.93,74.46,0,3.19,74.46,0,0,0,1,1
"Whey, fluid, sweet",27,0.4,54,0,47,0.06,161,0.85,5.14,0,93.12,5.14,0,1,0,0,1
"Spices, poppy seed",525,42,26,0,1438,9.76,719,17.99,28.13,19.5,5.95,2.99,0,0,0,1,1
"Babyfood, pretzels",397,2,269,0,25,3.77,137,10.8,82.2,2.3,4,3.08,0,0,0,1,1
"Fat, mutton tallow",902,100,0,28,0,0,0,0,0,0,0,0,0,0,0,1,1
"Coffeecake, cheese",339,15,339,0,59,0.64,289,7,44.3,1,32.2,0,0,1,0,1,1
"Sauce, horseradish",503,51,730,10,12,0.23,44,1.09,10.05,1,35.83,8.98,0,0,0,1,1
